Date,Views,Video
2019-02-21,11,#1
2019-02-22,9,#1
2019-02-23,5,#1
2019-02-24,15,#1
2019-02-25,18,#1
2019-02-26,16,#1
2019-02-27,13,#1
2019-02-28,21,#1
2019-03-01,6,#1
2019-03-02,4,#1
2019-03-03,12,#1
2019-03-04,13,#1
2019-03-05,18,#1
2019-03-06,15,#1
2019-03-07,15,#1
2019-03-08,11,#1
2019-03-09,10,#1
2019-03-10,18,#1
2019-03-11,25,#1
2019-03-12,16,#1
2019-03-13,20,#1
2019-03-14,21,#1
2019-03-15,14,#1
2019-03-16,17,#1
2019-03-17,16,#1
2019-03-18,13,#1
2019-03-19,10,#1
2019-03-20,20,#1
2019-03-21,23,#1
2019-03-22,14,#1
2019-03-23,19,#1
2019-03-24,25,#1
2019-03-25,26,#1
2019-03-26,24,#1
2019-03-27,29,#1
2019-03-28,23,#1
2019-03-29,23,#1
2019-03-30,10,#1
2019-03-31,36,#1
2019-04-01,33,#1
2019-04-02,35,#1
2019-04-03,35,#1
2019-04-04,38,#1
2019-04-05,18,#1
2019-04-06,12,#1
2019-04-07,26,#1
2019-04-08,21,#1
2019-04-09,14,#1
2019-04-10,26,#1
2019-04-11,21,#1
2019-04-12,23,#1
2019-04-13,10,#1
2019-04-14,22,#1
2019-04-15,27,#1
2019-04-16,21,#1
2019-04-17,14,#1
2019-04-18,10,#1
2019-04-19,7,#1
2019-04-20,10,#1
2019-04-21,21,#1
2019-04-22,21,#1
2019-04-23,33,#1
2019-04-24,20,#1
2019-04-25,25,#1
2019-04-26,28,#1
2019-04-27,20,#1
2019-04-28,25,#1
2019-04-29,33,#1
2019-04-30,14,#1
2019-05-01,29,#1
2019-05-02,25,#1
2019-05-03,15,#1
2019-05-04,8,#1
2019-05-05,23,#1
2019-05-06,20,#1
2019-05-07,23,#1
2019-05-08,13,#1
2019-05-09,14,#1
2019-05-10,9,#1
2019-05-11,15,#1
2019-05-12,15,#1
2019-05-13,28,#1
2019-05-14,24,#1
2019-05-15,14,#1
2019-05-16,25,#1
2019-05-17,23,#1
2019-05-18,19,#1
2019-05-19,40,#1
2019-05-20,31,#1
2019-05-21,36,#1
2019-05-22,39,#1
2019-05-23,18,#1
2019-05-24,20,#1
2019-05-25,11,#1
2019-05-26,21,#1
2019-05-27,33,#1
2019-05-28,16,#1
2019-05-29,41,#1
2019-05-30,25,#1
2019-05-31,16,#1
2019-06-01,10,#1
2019-06-02,20,#1
2019-06-03,36,#1
2019-06-04,23,#1
2019-06-05,41,#1
2019-06-06,36,#1
2019-06-07,33,#1
2019-06-08,23,#1
2019-06-09,24,#1
2019-06-10,32,#1
2019-06-11,41,#1
2019-06-12,33,#1
2019-06-13,33,#1
2019-06-14,26,#1
2019-06-15,17,#1
2019-06-16,33,#1
2019-06-17,41,#1
2019-06-18,22,#1
2019-06-19,22,#1
2019-06-20,12,#1
