data,ipca
2022 jun,0.67
2022 jul,-0.68
2022 ago,-0.36
2022 set,-0.29
2022 out,0.59
2022 nov,0.41
2022 dez,0.62
2023 jan,0.53
2023 fev,0.84
2023 mar,0.71
2023 abr,0.61
2023 mai,0.23
2023 jun,-0.08
2023 jul,0.12
2023 ago,0.23
2023 set,0.26
2023 out,0.24
2023 nov,0.28
2023 dez,0.56
2024 jan,0.42
2024 fev,0.83
2024 mar,0.16
2024 abr,0.38
2024 mai,0.46
2024 jun,0.21
2024 jul,0.38
2024 ago,-0.02
2024 set,0.44
2024 out,0.56
2024 nov,0.39
2024 dez,0.52
2025 jan,0.16
2025 fev,1.31
2025 mar,0.56
2025 abr,0.43
2025 mai,0.26
2025 jun,0.24
2025 jul,0.26
