"","dia","hora","sentido","eixos_2","eixos_3","eixos_4","eixos_5","eixos_6","eixos_7","eixos_8","eixos_9","passeio","moto","outros"
"190",3,15,"C","4","9","7","0","10","0","0","1","203","13","6"
"191",3,15,"D","14","12","8","1","6","0","0","0","243","10","11"
"192",3,15,"Total","18","21","15","1","16","0","0","1","446","23","17"
"193",3,16,"C","12","8","5","4","13","0","0","1","243","7","8"
"194",3,16,"D","9","12","11","1","5","0","0","0","229","9","4"
"195",3,16,"Total","21","20","16","5","18","0","0","1","472","16","12"
"196",3,17,"C","6","5","15","7","19","0","0","0","249","3","7"
"197",3,17,"D","11","7","8","3","3","0","0","0","237","8","6"
"198",3,17,"Total","17","12","23","10","22","0","0","0","486","11","13"
"199",3,18,"C","9","4","8","1","9","0","0","0","185","7","7"
"200",3,18,"D","10","9","7","0","5","2","0","0","221","5","0"
"201",3,18,"Total","19","13","15","1","14","2","0","0","406","12","7"
"202",3,19,"C","16","6","11","4","5","0","0","0","151","2","4"
"203",3,19,"D","15","9","7","0","3","0","0","0","199","4","4"
"204",3,19,"Total","31","15","18","4","8","0","0","0","350","6","8"
"205",3,20,"C","8","5","1","3","8","1","0","0","140","2","7"
"206",3,20,"D","12","13","4","3","3","0","0","0","118","2","5"
"207",3,20,"Total","20","18","5","6","11","1","0","0","258","4","12"
"208",3,21,"C","12","6","1","2","3","0","0","0","103","1","1"
"209",3,21,"D","6","8","2","1","3","2","0","0","89","0","3"
"210",3,21,"Total","18","14","3","3","6","2","0","0","192","1","4"
"211",3,22,"C","6","2","4","0","0","2","0","0","68","2","2"
"212",3,22,"D","9","10","6","1","4","1","0","0","52","5","1"
"213",3,22,"Total","15","12","10","1","4","3","0","0","120","7","3"
"214",3,23,"C","5","5","3","1","4","0","0","0","47","1","2"
"215",3,23,"D","5","3","4","2","4","0","0","0","38","1","2"
"216",3,23,"Total","10","8","7","3","8","0","0","0","85","2","4"
"217",4,0,"C","9","10","3","1","3","0","0","0","27","0","2"
"218",4,0,"D","1","4","9","1","1","1","0","0","43","1","2"
"219",4,0,"Total","10","14","12","2","4","1","0","0","70","1","4"
"220",4,1,"C","4","3","1","1","5","0","0","0","22","3","1"
"221",4,1,"D","1","7","3","3","1","0","0","0","22","2","3"
"222",4,1,"Total","5","10","4","4","6","0","0","0","44","5","4"
"223",4,2,"C","4","0","0","4","12","0","0","0","8","3","3"
"224",4,2,"D","6","1","4","1","1","1","0","0","13","1","2"
"225",4,2,"Total","10","1","4","5","13","1","0","0","21","4","5"
"226",4,3,"C","0","2","0","4","6","0","0","0","19","3","1"
"227",4,3,"D","7","5","13","0","2","0","0","0","9","0","3"
"228",4,3,"Total","7","7","13","4","8","0","0","0","28","3","4"
"229",4,4,"C","5","3","4","8","9","0","0","0","22","1","1"
"230",4,4,"D","6","7","20","2","6","0","0","0","18","2","5"
"231",4,4,"Total","11","10","24","10","15","0","0","0","40","3","6"
"232",4,5,"C","8","4","5","13","20","0","0","0","52","5","7"
"233",4,5,"D","12","11","26","2","5","0","0","0","49","1","6"
"234",4,5,"Total","20","15","31","15","25","0","0","0","101","6","13"
"235",4,6,"C","10","11","9","21","25","6","0","3","151","9","19"
"236",4,6,"D","17","12","30","4","10","0","0","0","88","8","9"
"237",4,6,"Total","27","23","39","25","35","6","0","3","239","17","28"
"238",4,7,"C","20","15","4","22","42","4","0","0","173","13","24"
"239",4,7,"D","9","4","61","3","17","2","0","0","113","3","6"
"240",4,7,"Total","29","19","65","25","59","6","0","0","286","16","30"
"241",4,8,"C","19","14","10","36","27","1","0","1","261","8","17"
"242",4,8,"D","13","10","59","8","11","0","0","1","159","4","9"
"243",4,8,"Total","32","24","69","44","38","1","0","2","420","12","26"
"244",4,9,"C","15","15","16","30","30","2","0","1","298","25","21"
"245",4,9,"D","14","12","79","8","18","1","0","0","211","9","12"
"246",4,9,"Total","29","27","95","38","48","3","0","1","509","34","33"
"247",4,10,"C","24","29","10","31","36","2","0","2","383","21","19"
"248",4,10,"D","10","8","68","6","14","0","0","0","262","6","9"
"249",4,10,"Total","34","37","78","37","50","2","0","2","645","27","28"
"250",4,11,"C","13","22","14","25","41","0","0","1","368","10","25"
"251",4,11,"D","15","10","44","11","11","1","0","1","294","20","8"
"252",4,11,"Total","28","32","58","36","52","1","0","2","662","30","33"
"253",4,12,"C","16","18","7","21","29","0","0","2","290","17","15"
"254",4,12,"D","15","9","41","15","10","1","0","0","331","16","12"
"255",4,12,"Total","31","27","48","36","39","1","0","2","621","33","27"
"256",4,13,"C","15","20","12","28","31","1","0","0","241","14","19"
"257",4,13,"D","15","10","38","5","7","1","0","1","282","12","13"
"258",4,13,"Total","30","30","50","33","38","2","0","1","523","26","32"
"259",4,14,"C","13","16","12","22","32","1","0","3","231","11","20"
"260",4,14,"D","9","15","41","11","13","1","0","2","304","11","10"
"261",4,14,"Total","22","31","53","33","45","2","0","5","535","22","30"
"262",4,15,"C","20","12","9","23","27","4","0","2","203","18","15"
"263",4,15,"D","21","10","42","20","8","2","0","0","304","14","9"
"264",4,15,"Total","41","22","51","43","35","6","0","2","507","32","24"
"265",4,16,"C","12","10","5","30","33","5","0","0","206","7","14"
"266",4,16,"D","14","20","46","14","21","3","0","0","344","14","15"
"267",4,16,"Total","26","30","51","44","54","8","0","0","550","21","29"
"268",4,17,"C","16","7","8","27","44","2","0","0","161","9","20"
"269",4,17,"D","11","13","37","6","7","1","0","1","377","11","12"
"270",4,17,"Total","27","20","45","33","51","3","0","1","538","20","32"
"271",4,18,"C","9","9","8","25","30","1","0","1","156","10","12"
"272",4,18,"D","13","20","22","5","10","2","0","0","284","6","3"
"273",4,18,"Total","22","29","30","30","40","3","0","1","440","16","15"
"274",4,19,"C","5","9","7","13","33","0","0","1","123","10","9"
"275",4,19,"D","21","16","30","5","5","0","0","1","199","8","6"
"276",4,19,"Total","26","25","37","18","38","0","0","2","322","18","15"
"277",4,20,"C","8","5","8","19","25","2","0","2","99","8","11"
"278",4,20,"D","7","7","31","6","6","0","0","0","158","2","5"
"279",4,20,"Total","15","12","39","25","31","2","0","2","257","10","16"
"280",4,21,"C","6","6","1","7","15","0","0","0","64","8","6"
"281",4,21,"D","9","9","30","4","2","0","0","0","88","2","4"
"282",4,21,"Total","15","15","31","11","17","0","0","0","152","10","10"
"283",4,22,"C","6","2","10","12","13","1","0","0","52","4","8"
"284",4,22,"D","8","7","34","2","5","0","0","0","64","6","2"
"285",4,22,"Total","14","9","44","14","18","1","0","0","116","10","10"
"286",4,23,"C","7","7","2","11","15","0","0","0","39","5","11"
"287",4,23,"D","4","6","19","3","3","0","0","0","28","1","3"
"288",4,23,"Total","11","13","21","14","18","0","0","0","67","6","14"
"289",5,0,"C","5","10","5","9","9","0","0","0","17","2","3"
"290",5,0,"D","1","4","18","2","1","0","0","0","31","4","8"
"291",5,0,"Total","6","14","23","11","10","0","0","0","48","6","11"
"292",5,1,"C","5","1","3","4","6","0","0","0","14","1","3"
"293",5,1,"D","2","3","15","1","6","1","0","0","21","1","4"
"294",5,1,"Total","7","4","18","5","12","1","0","0","35","2","7"
"295",5,2,"C","3","6","1","9","9","0","0","0","12","3","7"
"296",5,2,"D","6","4","23","1","1","0","0","0","7","4","5"
"297",5,2,"Total","9","10","24","10","10","0","0","0","19","7","12"
"298",5,3,"C","2","6","5","13","3","0","0","0","9","2","2"
"299",5,3,"D","1","4","27","1","2","0","0","0","7","2","3"
"300",5,3,"Total","3","10","32","14","5","0","0","0","16","4","5"
"301",5,4,"C","2","4","2","15","16","0","0","0","28","1","6"
"302",5,4,"D","3","12","19","3","3","1","0","0","19","0","0"
"303",5,4,"Total","5","16","21","18","19","1","0","0","47","1","6"
"304",5,5,"C","1","6","5","9","28","0","0","2","38","7","13"
"305",5,5,"D","4","5","28","3","5","0","0","0","28","3","6"
"306",5,5,"Total","5","11","33","12","33","0","0","2","66","10","19"
"307",5,6,"C","10","9","12","18","23","1","0","6","106","6","23"
"308",5,6,"D","10","8","45","3","10","1","1","0","69","2","11"
"309",5,6,"Total","20","17","57","21","33","2","1","6","175","8","34"
"310",5,7,"C","7","6","11","25","38","0","0","3","130","10","18"
"311",5,7,"D","6","7","65","2","13","2","0","1","93","6","3"
"312",5,7,"Total","13","13","76","27","51","2","0","4","223","16","21"
"313",5,8,"C","12","8","12","25","43","2","0","2","182","15","9"
"314",5,8,"D","5","8","55","5","11","0","0","1","210","5","11"
"315",5,8,"Total","17","16","67","30","54","2","0","3","392","20","20"
"316",5,9,"C","10","9","4","30","26","2","0","2","279","21","18"
"317",5,9,"D","12","8","50","6","14","1","0","1","312","7","14"
"318",5,9,"Total","22","17","54","36","40","3","0","3","591","28","32"
"319",5,10,"C","14","15","13","21","40","2","0","4","389","19","24"
"320",5,10,"D","11","10","62","6","9","0","0","0","482","14","11"
"321",5,10,"Total","25","25","75","27","49","2","0","4","871","33","35"
"322",5,11,"C","14","13","14","15","42","6","0","4","366","12","11"
"323",5,11,"D","13","7","46","7","18","1","0","0","545","15","17"
"324",5,11,"Total","27","20","60","22","60","7","0","4","911","27","28"
"325",5,12,"C","6","5","11","16","39","5","0","5","295","14","11"
"326",5,12,"D","13","4","40","7","22","1","0","0","620","21","11"
"327",5,12,"Total","19","9","51","23","61","6","0","5","915","35","22"
"328",5,13,"C","14","7","11","18","26","1","0","2","270","8","20"
"329",5,13,"D","15","8","29","9","8","1","0","0","632","12","9"
"330",5,13,"Total","29","15","40","27","34","2","0","2","902","20","29"
"331",5,14,"C","9","11","10","23","45","7","0","2","289","11","14"
"332",5,14,"D","11","15","38","3","10","3","0","0","747","27","14"
"333",5,14,"Total","20","26","48","26","55","10","0","2","1036","38","28"
"334",5,15,"C","14","9","12","17","34","2","0","0","280","9","18"
"335",5,15,"D","16","20","31","3","12","1","0","1","817","23","12"
"336",5,15,"Total","30","29","43","20","46","3","0","1","1097","32","30"
"337",5,16,"C","15","9","4","8","36","2","0","0","293","5","20"
"338",5,16,"D","18","20","36","5","12","0","0","0","792","16","15"
"339",5,16,"Total","33","29","40","13","48","2","0","0","1085","21","35"
"340",5,17,"C","20","12","6","12","24","3","0","0","207","6","13"
"341",5,17,"D","19","16","31","6","14","0","0","0","784","17","14"
"342",5,17,"Total","39","28","37","18","38","3","0","0","991","23","27"
"343",5,18,"C","10","6","3","12","28","3","0","2","192","3","17"
"344",5,18,"D","14","20","29","6","2","0","0","0","653","16","8"
"345",5,18,"Total","24","26","32","18","30","3","0","2","845","19","25"
"346",5,19,"C","6","7","13","19","19","1","0","0","142","9","8"
"347",5,19,"D","21","28","23","9","11","0","0","0","462","10","13"
"348",5,19,"Total","27","35","36","28","30","1","0","0","604","19","21"
"349",5,20,"C","16","15","4","13","18","0","0","0","141","4","8"
"350",5,20,"D","22","22","16","4","11","0","0","0","388","7","20"
"351",5,20,"Total","38","37","20","17","29","0","0","0","529","11","28"
"352",5,21,"C","11","11","4","6","13","0","0","0","96","4","15"
"353",5,21,"D","20","21","20","4","5","0","0","0","290","10","3"
"354",5,21,"Total","31","32","24","10","18","0","0","0","386","14","18"
"355",5,22,"C","17","11","5","5","7","0","0","2","81","2","4"
"356",5,22,"D","13","15","19","4","5","0","0","0","241","3","14"
"357",5,22,"Total","30","26","24","9","12","0","0","2","322","5","18"
"358",5,23,"C","10","3","4","5","10","0","0","3","58","6","2"
"359",5,23,"D","5","4","16","7","3","0","0","0","121","1","8"
"360",5,23,"Total","15","7","20","12","13","0","0","3","179","7","10"
"361",6,0,"C","8","13","3","2","4","0","0","0","38","0","4"
